"name","price","chipset","memory","core_clock","boost_clock","color","length"
"MSI GAMING TRIO CLASSIC",999.99," RX 7900 XTX",24,2300,2500,"Black / Silver",325
"Asus DUAL V2",229.99," RX 6600",8,1626,2491,"Black",243
"Gigabyte GAMING OC Rev 2.0",385.33," RTX 3060 12GB",12,1320,1837,"Black / Gray",282
"ASRock Challenger D OC",199.99," RX 5700 XT",8,1650,1905,"Black / Yellow",281
"XFX Speedster QICK 319 Core",349.99," RX 6750 XT",12,2150,2600,"Black / Silver",323
"XFX Speedster MERC 310",699.99," RX 7900 XT",20,2000,2535,"Black / Silver",344
"Gigabyte GAMING OC",309.99," RTX 4060",8,1830,NA,"Black",281
"MSI GAMING X SLIM",604.99," RTX 4070 SUPER",12,1980,2655,"Black",307
"MSI GeForce RTX 2060 VENTUS GP OC",329," RTX 2060",6,1365,1710,"Gray / Black",231
"ASRock Taichi OC",1149.99," RX 7900 XTX",24,2300,2680,"White",345
"Gigabyte WINDFORCE V2",1949.95," RTX 4090",24,2235,2520,"Black",331
"Asus TUF GAMING OC",649.99," RTX 4070",12,2550,2580,"Black",301
"NVIDIA Founders Edition",939.99," RTX 3080 Ti",12,1370,1670,"Silver / Black",285
"Asus TUF GAMING OC",700.09," RX 7800 XT",16,1295,2565,"Black",320
"Gigabyte AERO OC",514.99," RTX 4060 Ti",16,2310,2595,"White / Silver",281
"Gigabyte EAGLE OC",829.99," RTX 4070 Ti SUPER",16,2340,2640,"Black",261
"Asus TUF GAMING OC",999.99," RTX 4070 Ti",12,2310,2760,"Black",305
"ASRock Challenger OC",169.99,"Arc A580",8,1700,2000,"Black",271
"Asus Phoenix OC",215.43," GTX 1650 G6",4,1410,1665,"Black",178
"Asus DUAL OC",339.99," RX 7600 XT",16,1720,2801,"Black",227
"MSI VENTUS 2X OC",544.99," RTX 4070",12,1920,2520,"White / Silver",242
"Gigabyte GAMING OC",919.99," RX 7900 XTX",24,2300,2525,"Black",331
"Acer Predator BiFrost OC",349.99,"Arc A770",16,2200,2400,"Black / Silver",267
"XFX Speedster MERC 310 Black Edition",729.99," RX 7900 XT",20,2000,2560,"Black / Silver",344
"Asus TUF GAMING OC",1069.99," RX 7900 XTX",24,2300,2615,"Black",353
"Gigabyte WINDFORCE OC",623.16," RTX 4060 Ti",16,2310,2565,"Black / Silver",201
"MSI GAMING X SLIM",1099.99," RTX 4080 SUPER",16,2210,2625,"Black",322
"Sapphire PULSE",339.99," RX 7600 XT",16,1720,2810,"Black / Red",250
"Intel Limited Edition",231.57,"Arc A750",8,2050,NA,"Black",250
"Zotac Twin Edge OC",299.99," RTX 4060",8,1830,2475,"Black / Silver",221
"ASRock Challenger OC",549.99," RX 7900 GRE",16,1270,2293,"Black",269
"Gigabyte WINDFORCE OC Rev 2.0",294.99," RTX 3060 12GB",12,1320,1792,"Black",198
"MSI RTX 4090 GAMING SLIM 24G",1799.99," RTX 4090",24,2235,2535,"Black",322
"Sapphire NITRO+",599.99," RX 7900 GRE",16,1270,2391,"Black",320
"MSI GAMING X TRIO",1819.99," RTX 4090",24,2235,NA,"Black",337
"XFX Speedster MERC 319 Black",509.99," RX 7800 XT",16,1295,2565,"Black / Silver",326
"NVIDIA 9001G4112520001",214.99," GTX 1070",8,1506,1683,"Black / Silver",267
"MSI VENTUS 2X OC",599.99," RTX 4070 SUPER",12,1980,2520,"Black",242
"Asus DUAL OC",309.99," RTX 4060",8,1830,2535,"White",227
"Sapphire PULSE",199.99," RX 6600",8,1626,2491,"Black / Red",193
"ASRock Phantom Gaming D OC",139.99," RX 6500 XT",4,2365,2820,"Black",240
"Asus ROG STRIX GAMING OC",949.99," RTX 4070 Ti SUPER",16,2340,2700,"Black",336
"Gigabyte EAGLE OC",599.99," RTX 4070 SUPER",12,1980,2535,"Black",261
"PowerColor Fighter",329.99," RX 7600 XT",16,1720,2755,"Black",217
"XFX Speedster SWFT 210",319.99," RX 7600 XT",16,1720,2755,"Black",272
"MSI D6 VENTUS XS OCV3",139.99," GTX 1650 G6",4,1410,1620,"Silver / Black",179
"MSI GAMING X",319.99," RTX 4060",8,1830,2610,"Black",247
"MSI VENTUS 2X BLACK OC",389.99," RTX 4060 Ti",8,2310,NA,"Black",199
"Gigabyte GAMING OC",829.99," RTX 4070 Ti SUPER",16,2340,2655,"Black",300
"ASRock Steel Legend OC",689.99," RX 7800 XT",16,1295,2520,"White",304
"MSI VENTUS 3X OC",781.33," RTX 4070 Ti",12,2310,2655,"Silver / Black",308
"Asus DUAL OC",499.99," RX 7800 XT",16,1295,2520,"Black",280
"MSI SUPRIM X",2384.81," RTX 4090",24,2235,NA,"Black / Silver",336
"EVGA FTW3 ULTRA GAMING",660.04," RTX 3070 Ti",8,1575,1860,"Black",300
"MSI SUPRIM X",1199.99," RTX 4080 SUPER",16,2210,2655,"Silver / Black",336
"MSI GeForce RTX 3080 VENTUS 3X 10G OC",844.99," RTX 3080 10GB",10,1440,NA,"Black",305
"MSI EXPERT",1049.99," RTX 4080 SUPER",16,2210,2625,"Copper / Black",312
"PowerColor Hellhound OC",579.99," RX 7900 GRE",16,1270,2366,"Black",332
"MSI GAMING X SLIM",1859," RTX 4090",24,2235,2610,"Black",322
"Zotac GAMING Twin Edge",885.98," RTX 3060 12GB",12,1320,1777,"Black",224
"Asus ProArt OC",859.99," RTX 4070 Ti SUPER",16,2340,2670,"Black / Gold",300
"Gigabyte AORUS XTREME WATERFORCE",1999.99," RTX 4090",24,2235,NA,"Black",238
"Gigabyte GAMING OC",259.99," RX 7600",8,1720,2755,"Black / Silver",282
"PowerColor Hellhound",729.99," RX 7900 XT",20,2000,2500,"Black",320
"ASRock Phantom Gaming OC",929.99," RX 7900 XTX",24,2300,2615,"Black",330
"Asus DUAL OC",399.99," RTX 4060 Ti",8,2310,2595,"White",227
"NVIDIA Founders Edition",1495.99," RTX 3090 Ti",24,1560,1860,"Silver / Black",313
"MSI VENTUS 2X OC",619.99," RTX 4070 SUPER",12,1980,2520,"White",242
"ASRock Challenger OC",279.99,"Arc A770",16,2100,2150,"Black",271
"Asus TUF Gaming OG OC",1779," RTX 4090",24,2235,2595,"Black",326
"MSI VENTUS 3X OC",829.99," RTX 4070 Ti SUPER",16,2340,2655,"Black / Silver",308
"XFX Speedster MERC 319 CORE",429.99," RX 6800 XT",16,1825,2250,"Black / Silver",340
"ASRock Intel Arc A380 Challenger ITX",109.99,"Arc A380",6,2250,NA,"Black",190
"ASRock Steel Legend OC",269.99," RX 7600",8,1720,2725,"White",303
"Gigabyte OC Low Profile",319.99," RTX 4060",8,1830,2475,"Black",182
"PowerColor Fighter OC",549.99," RX 7900 GRE",16,1270,2293,"Black",303
"PNY VERTO OC",599.99," RTX 4070 SUPER",12,1980,2490,"Black",247
"MSI VENTUS 3X OC",399," RTX 4060 Ti",8,2310,NA,"Black",308
"PNY VERTO",289.99," RTX 4060",8,1830,2460,"Black",210
"Zotac GAMING SOLO",364.29," RTX 4060",8,1830,2460,"Black",163
"Gigabyte GAMING OC",749.99," RX 7900 XT",20,2000,2535,"Black",331
"Zotac GAMING Trinity OC",829.99," RTX 4070 Ti",12,2310,2625,"Black",307
"Asus TUF GAMING OC",659," RTX 4070 SUPER",12,1980,2595,"Black",301
"Gigabyte GAMING OC",589.99," RTX 4070",12,1920,2565,"Black",300
"Asus TUF GAMING OC",326.45," GTX 1660 SUPER",6,1530,1845,"Black",206
"ASRock Taichi OC",989.99," RX 7900 XTX",24,2300,2680,"Black",345
"XFX Speedster QICK 319 BLACK",406.94," RX 7700 XT",12,1700,2599,"Black",335
"MSI GeForce RTX 2070 SUPER VENTUS GP OC",679," RTX 2070 SUPER",8,1605,1785,"Silver / Black",258
"EVGA FTW3 ULTRA GAMING",1314.99," RTX 3090",24,1395,1800,"Black",300
"PowerColor Fighter",349.99," RX 6750 XT",12,2150,2600,"Black",230
"PowerColor Hellhound Spectral",579.99," RX 7800 XT",16,1295,2520,"White",322
"Asus TUF GAMING OC",577.82," RTX 3070",8,1500,1845,"Black",300
"MSI VENTUS 3X OC",479.99," RTX 4060 Ti",16,2310,2625,"Silver / Black",308
"MSI GTX 1050 Ti 4GT OC",262," GTX 1050 Ti",4,1341,1455,"Black / White",215
"Asus STRIX GAMING",599," GTX 1080 Ti",11,1493,1632,"Black",298
"PowerColor Red Devil OC",519.99," RX 7800 XT",16,1295,2565,"Black",332
"ASRock Steel Legend OC",569.99," RX 7900 GRE",16,1270,2333,"White",304
"Asus TUF GAMING OC",379.99," RX 7600 XT",16,1720,2830,"Black",300
"MSI VENTUS 3X E OC",1899.99," RTX 4090",24,2235,2565,"Silver / Black",322
"Asus DUAL Advanced",449.99," RTX 4060 Ti",16,2310,2580,"Black",227
"Gigabyte AORUS MASTER",1199.99," RTX 4080 SUPER",16,2210,2625,"Black",357
"MSI VENTUS 2X OC",549.99," RTX 4070",12,1920,2520,"Silver / Black",242
"Asus DUAL OC V2",279.99," RX 7600",8,1720,2715,"Black",245
"Gigabyte GAMING OC",559," RTX 3070",8,1500,1815,"Black / Silver",286
"Asus DUAL EVO OC",599.99," RTX 4070 SUPER",12,1980,2550,"Black",227
"MSI VENTUS 3X OC",395.99," RTX 3060 Ti LHR",8,1410,1695,"Black / Gray",316
"PowerColor Red Devil",999.99," RX 7900 XTX",24,2300,2565,"Black",338
"PNY VERTO",439.99," RTX 4060 Ti",16,2310,2535,"Black",245
"Zotac GAMING Twin Edge OC",449," RTX 3070",8,1500,1755,"Black",232
"Asus DUAL",609.99," RTX 4070 SUPER",12,1980,2505,"Black",267
"Sapphire 21330-01-20G",509.99," RX 7800 XT",16,1295,2430,"Black",267
"Asus TUF GAMING OC",799.99," RX 7900 XT",20,2000,NA,"Black",353
"PNY VERTO",1749.99," RTX 4090",24,2235,2520,"Black",337
"PowerColor Fighter",249.99," RX 6650 XT",8,2055,2635,"Black",200
"MSI VENTUS 3X OC",554.99," RTX 4070",12,1920,NA,"Silver / Black",308
"PNY XLR8 Gaming VERTO EPIC-X RGB OC",1029.99," RTX 4080 SUPER",16,2210,2595,"Black",332
"Gigabyte AERO OC V2",809.99," RTX 4070 Ti",12,2310,2640,"White / Silver",300
"PowerColor Fighter OC",399.99," RX 7700 XT",12,1700,2584,"Black",290
"MSI GAMING X SLIM",606," RTX 4060 Ti",16,2310,2685,"White",307
"ASRock Phantom Gaming D OC",499.99," RX 6800 XT",16,1825,NA,"Black / Silver",330
"PNY VERTO",583.61," RTX 4070",12,1920,2475,"Black",247
"EVGA FTW3 ULTRA GAMING LE iCX3",949.99," RTX 3080 Ti",12,1365,1800,"Black",300
"EVGA FTW3 ULTRA GAMING",571.99," RTX 3070",8,1500,1815,"Black / Silver",300
"Asus DUAL OC",799.99," RTX 4070 Ti SUPER",16,2340,2655,"Black",267
"MSI VENTUS 3X",799.99," RTX 4070 Ti SUPER",16,2340,2625,"Silver / Black",308
"Sapphire PULSE",139.99," RX 6500 XT",4,2310,2825,"Black / Red",194
"Gigabyte EAGLE OC",167," RTX 3050 6GB",6,1040,1500,"Black",192
"Asus ROG STRIX GAMING",1979.99," RTX 4090",24,2235,2550,"White",358
"Asus ROG STRIX OC",389," RTX 4060",8,1830,2700,"Black",311
"PowerColor Hellhound OC",439.99," RX 7700 XT",12,1700,2599,"Black",332
"XFX Speedster QICK 309",329," RX 7600 XT",16,1720,2810,"Black",302
"ASRock Challenger D",199.99,"Arc A750",8,2200,NA,"Black",271
"PowerColor Fighter OC",509.99," RX 7800 XT",16,1295,2475,"Black",290
"MSI GAMING X",289," GTX 1660 SUPER",6,1530,1830,"Black",247
"Asus DUAL OC",439.99," RX 7700 XT",12,1700,2599,"Black",280
"Gigabyte AERO OC",489.99," RTX 4070",12,1920,2565,"White / Silver",300
"MSI VENTUS 3X OC",599.99," RTX 3070 Ti",8,1575,1800,"Black / Silver",316
"PowerColor Hellhound Spectral",1399," RX 7900 XTX",24,2300,2525,"White",338
"Zotac GAMING Twin Edge OC",314.99," RTX 3060 12GB",12,1320,1807,"Black",224
"EVGA XC3 ULTRA GAMING",494.02," RTX 3070",8,1500,1770,"Black / Silver",285
"EVGA XC GAMING",397," RTX 3060 12GB",12,1320,1882,"Black",202
"Asus Noctua OC",1349.99," RTX 4080 SUPER",16,2210,2640,"Brown / Black",310
"Gigabyte GAMING OC",616.46," RTX 4060 Ti",16,2310,2595,"Black",281
"Gigabyte AORUS MASTER",1899.99," RTX 4090",24,2235,NA,"Black",358
"Sapphire PULSE",585.95," RX 6700 XT",12,2321,2581,"Black",260
"XFX Speedster MERC 319",549.99," RX 6950 XT",16,2009,2368,"Black",340
"MSI VENTUS 2X OC",940.31," RTX 4070 Ti SUPER",16,2340,2655,"Black / Silver",242
"MSI GeForce GTX 1650 SUPER",379," GTX 1650 SUPER",4,1530,1755,"Black / Silver",248
"Zotac Twin Edge OC",329," RTX 3060 Ti",8,1410,1695,"Black",222
"NVIDIA Founders Edition",469.98," RTX 2080",8,1515,1800,"Black / Silver",267
"MSI GAMING X SLIM",1169.99," RTX 4080",16,2205,2610,"White / Silver",322
"MSI VENTUS 3X OC",1166.89," RTX 4080",16,2205,NA,"Black",322
"XFX Speedster QICK 308 Black",269.99," RX 7600",8,1875,2755,"Black",272
"Sparkle ORC OC",159.99,"Arc A580",8,1700,2000,"Blue / Black",222
"Gigabyte WINDFORCE OC",363.2," RTX 3060 12GB",12,1320,1792,"Black",198
"Asus Phoenix OC",242," GTX 1660 SUPER",6,1530,1830,"Black / White",174
"Asus ProArt OC",579.99," RTX 4070",12,1920,2565,"Black",300
"ASRock Low Profile",119.99,"Arc A380",6,2000,NA,"Black",169
"Asus ROG STRIX GAMING OC",749," RTX 4070 SUPER",12,1980,2670,"Black",339
"EVGA SC ULTRA GAMING",210," GTX 1660",6,1530,1830,"Silver / Black",202
"Zotac GAMING Twin Edge OC",633.82," RTX 4070",12,1920,2490,"White",226
"MSI VENTUS 2X OC",819.99," RTX 4070 Ti SUPER",16,2340,2655,"White / Silver",242
"Gigabyte WINDFORCE OC",390.99," RTX 4060 Ti",8,2310,2550,"Black / Silver",201
"Asus Phoenix GeForce RTX 3060 V2",346.11," RTX 3060 12GB",12,1320,1807,"Black",177
"Gigabyte OC",380," GTX 1660 Ti",6,1500,1800,"Black / Gray",226
"MSI VENTUS 2X OC",749.99," RTX 4070 Ti",12,2310,2655,"Silver / Black",242
"Asus DUAL",279," RX 6600",8,1626,2491,"Black / Silver",243
"Gigabyte GAMING OC",799.01," RTX 3070 Ti",8,1575,1830,"Black / Silver",320
"Asus DUAL OC",499," RTX 4060 Ti",16,2310,2625,"Black",227
"Asus TUF GAMING OC",879.99," RTX 4070 Ti",12,2310,2760,"White",305
"MSI GAMING X SLIM",623.16," RTX 4060 Ti",16,2310,2685,"Black",307
"Gigabyte GAMING OC",799.99," RTX 4070 Ti",12,2310,2640,"Black",336
"Zotac GAMING Trinity OC",899," RTX 3090",24,1395,1710,"Black",318
"Asus TUF GAMING OC",615," RTX 3060 Ti",8,1410,1785,"Black",302
"PNY VERTO",391.36," RTX 3060 Ti LHR",8,1410,1665,"Black",247
