"product","product.href","Manufacturer","name","socket","image","form_factor","chipset","max_memory","memory_type","memory_slots","m2_slot","price","category"
"ASRock Z790I Lightning WiFi","https://pcpartpicker.com/product/wChv6h/asrock-z790i-lightning-wifi-mini-itx-lga1700-motherboard-z790i-lightning-wifi","ASRock","ASRock Z790I Lightning WiFi Mini ITX LGA1700 Motherboard","LGA1700","//cdna.pcpartpicker.com/static/forever/images/product/6a1c1eaf4c583a67136a6b0a81cdfe03.256p.jpg","Mini ITX","Intel Z790",96,"DDR5","2","",459.99,"MOBO"
"Asus PRIME B550M-A","https://pcpartpicker.com/product/bDyqqs/asus-prime-b550m-a-micro-atx-am4-motherboard-prime-b550m-a","Asus","Asus PRIME B550M-A Micro ATX AM4 Motherboard","AM4","//cdna.pcpartpicker.com/static/forever/images/product/68437d2eec7d3f058132c02a4b56609b.256p.jpg","Micro ATX","AMD B550",128,"DDR4","4","2242/2260/2280/22110 M-key
                        
                            2242/2260/2280 M-key",134.47,"MOBO"
"MSI H310M PRO-VDH PLUS","https://pcpartpicker.com/product/KWgzK8/msi-h310m-pro-vdh-plus-micro-atx-am4-motherboard-h310m-pro-vdh-plus","MSI","MSI H310M PRO-VDH PLUS Micro ATX LGA1151 Motherboard","LGA1151","//cdna.pcpartpicker.com/static/forever/images/product/ef5567af61e7015374ee976b865884a1.256p.jpg","Micro ATX","Intel H310",32,"DDR4","2","",117,"MOBO"
"Gigabyte Z790 GAMING PLUS AX","https://pcpartpicker.com/product/XDWJ7P/gigabyte-z790-gaming-plus-ax-atx-lga1700-motherboard-z790-gaming-plus-ax","Gigabyte","Gigabyte Z790 GAMING PLUS AX ATX LGA1700 Motherboard","LGA1700","//cdna.pcpartpicker.com/static/forever/images/product/f9fa3629bcbedd44bac99faaeef9a53b.256p.jpg","ATX","Intel Z790",192,"DDR5","4","",199.99,"MOBO"
"Gigabyte GA-AB350-GAMING 3","https://pcpartpicker.com/product/2pnG3C/gigabyte-ga-ab350-gaming-3-atx-am4-motherboard-ga-ab350-gaming-3","Gigabyte","Gigabyte GA-AB350-GAMING 3 ATX AM4 Motherboard","AM4","https://m.media-amazon.com/images/I/51IFLBU8jpL.jpg","ATX","AMD B350",64,"DDR4","4","",279.99,"MOBO"
"Asus PRIME B650M-A II-CSM","https://pcpartpicker.com/product/9q6p99/asus-prime-b650m-a-ii-csm-micro-atx-am5-motherboard-prime-b650m-a-ii-csm","Asus","Asus PRIME B650M-A II-CSM Micro ATX AM5 Motherboard","AM5","//cdna.pcpartpicker.com/static/forever/images/product/93351829058bca9c17060c77fe98ca1f.256p.jpg","Micro ATX","AMD B650",192,"DDR5","4","",159.99,"MOBO"
"ASRock B760I Lightning WiFi","https://pcpartpicker.com/product/MyzXsY/asrock-b760i-lightning-wifi-mini-itx-lga1700-motherboard-b760i-lightning-wifi","ASRock","ASRock B760I Lightning WiFi Mini ITX LGA1700 Motherboard","LGA1700","//cdna.pcpartpicker.com/static/forever/images/product/b9b6630a47656d1dd4acec1cb456faa9.256p.jpg","Mini ITX","Intel B760",96,"DDR5","2","",302.99,"MOBO"
"ASRock B650M PG RIPTIDE WIFI","https://pcpartpicker.com/product/Ng2WGX/asrock-b650m-pg-riptide-wifi-micro-atx-am5-motherboard-b650m-pg-riptide-wifi","ASRock","ASRock B650M PG RIPTIDE WIFI Micro ATX AM5 Motherboard","AM5","//cdna.pcpartpicker.com/static/forever/images/product/6df39531014dfa084ccce11055f42764.256p.jpg","Micro ATX","AMD B650",256,"DDR5","4","",189.99,"MOBO"
"Asus TUF GAMING B660M-PLUS WIFI D4","https://pcpartpicker.com/product/K7H7YJ/asus-tuf-gaming-b660m-plus-wifi-d4-micro-atx-lga1700-motherboard-tuf-gaming-b660m-plus-wifi-d4","Asus","Asus TUF GAMING B660M-PLUS WIFI D4 Micro ATX LGA1700 Motherboard","LGA1700","//cdna.pcpartpicker.com/static/forever/images/product/5d0324640b543e18f422d62a06547b99.256p.jpg","Micro ATX","Intel B660",128,"DDR4","4","2242/2260/2280 M-key
                        
                            2242/2260/2280 M-key",200,"MOBO"
"ASRock B860 Pro-A","https://pcpartpicker.com/product/TnHp99/asrock-b860-pro-a-atx-lga1851-motherboard-b860-pro-a","ASRock","ASRock B860 Pro-A ATX LGA1851 Motherboard","LGA1851","//cdna.pcpartpicker.com/static/forever/images/product/4c74c2b44e7280e84f1381690f1a951d.256p.jpg","ATX","Intel B860",256,"DDR5","4","",139.99,"MOBO"
"Asus ROG STRIX Z790-A GAMING WIFI D4","https://pcpartpicker.com/product/2rTp99/asus-rog-strix-z790-a-gaming-wifi-d4-atx-lga1700-motherboard-rog-strix-z790-a-gaming-wifi-d4","Asus","Asus ROG STRIX Z790-A GAMING WIFI D4 ATX LGA1700 Motherboard","LGA1700","//cdna.pcpartpicker.com/static/forever/images/product/15c3c641097716024f8c373d5625eaa7.256p.jpg","ATX","Intel Z790",128,"DDR4","4","2242/2260/2280/22110 M-key
                        
                            2242/2260/2280 M-key
                        
                            2242/2260/2280/22110 M-key
                        
                            2242/2260/2280 M-key",379.99,"MOBO"
"Gigabyte B850 AI TOP","https://pcpartpicker.com/product/mVYfrH/gigabyte-b850-ai-top-atx-am5-motherboard-b850-ai-top","Gigabyte","Gigabyte B850 AI TOP ATX AM5 Motherboard","AM5","https://m.media-amazon.com/images/I/5144yalg6qL.jpg","ATX","AMD B850",256,"DDR5","4","",329.99,"MOBO"
"Asus PRIME Z890-P WIFI","https://pcpartpicker.com/product/BYyH99/asus-prime-z890-p-wifi-atx-lga1851-motherboard-prime-z890-p-wifi","Asus","Asus PRIME Z890-P WIFI ATX LGA1851 Motherboard","LGA1851","//cdna.pcpartpicker.com/static/forever/images/product/ff7bc597d0e9858e8029459e513e2438.256p.jpg","ATX","Intel Z890",192,"DDR5","4","",244.99,"MOBO"
"Asus PRIME B660M-K D4","https://pcpartpicker.com/product/QFzhP6/asus-prime-b660m-k-d4-micro-atx-lga1700-motherboard-prime-b660m-k-d4","Asus","Asus PRIME B660M-K D4 Micro ATX LGA1700 Motherboard","LGA1700","//cdna.pcpartpicker.com/static/forever/images/product/c727393bc396b85afa7c01b41ddb1ea8.256p.jpg","Micro ATX","Intel B660",64,"DDR4","2","2242/2260/2280 M-key
                        
                            2242/2260/2280 M-key",168.8,"MOBO"
"ASRock B650 LiveMixer","https://pcpartpicker.com/product/ckhFf7/asrock-b650-livemixer-atx-am5-motherboard-b650-livemixer","ASRock","ASRock B650 LiveMixer ATX AM5 Motherboard","AM5","//cdna.pcpartpicker.com/static/forever/images/product/9dff4993915c579be209e4744adccb62.256p.jpg","ATX","AMD B650",256,"DDR5","4","2260/2280 M-key
                        
                            2260/2280 M-key
                        
                            2260/2280 M-key
                        
                            2230 E-key",264.07,"MOBO"
"Asus ROG Strix X570-E Gaming","https://pcpartpicker.com/product/CLkgXL/asus-rog-strix-x570-e-gaming-atx-am4-motherboard-rog-strix-x570-e-gaming","Asus","Asus ROG Strix X570-E Gaming ATX AM4 Motherboard","AM4","//cdna.pcpartpicker.com/static/forever/images/product/8edda8b2608b4fe4e5c3777f9e6df4fd.256p.jpg","ATX","AMD X570",128,"DDR4","4","",605,"MOBO"
"Asus ROG STRIX B760-F GAMING WIFI","https://pcpartpicker.com/product/WFWzK8/asus-rog-strix-b760-f-gaming-wifi-atx-lga1700-motherboard-rog-strix-b760-f-gaming-wifi","Asus","Asus ROG STRIX B760-F GAMING WIFI ATX LGA1700 Motherboard","LGA1700","//cdna.pcpartpicker.com/static/forever/images/product/6362331ecbafba634bf70bd1962de6e2.256p.jpg","ATX","Intel B760",192,"DDR5","4","2242/2260/2280 M-key
                        
                            2242/2260/2280/22110 M-key
                        
                            2242/2260/2280 M-key",269.99,"MOBO"
"Asus ROG STRIX Z490-E GAMING","https://pcpartpicker.com/product/J9PgXL/asus-rog-strix-z490-e-gaming-atx-lga1200-motherboard-rog-strix-z490-e-gaming","Asus","Asus ROG STRIX Z490-E GAMING ATX LGA1200 Motherboard","LGA1200","//cdna.pcpartpicker.com/static/forever/images/product/cecf707cb59521400fc68f887de78eb0.256p.jpg","ATX","Intel Z490",128,"DDR4","4","",530,"MOBO"
"ASRock B650E PG-ITX WIFI","https://pcpartpicker.com/product/Zz2WGX/asrock-b650e-pg-itx-wifi-mini-itx-am5-motherboard-b650e-pg-itx-wifi","ASRock","ASRock B650E PG-ITX WIFI Mini ITX AM5 Motherboard","AM5","//cdna.pcpartpicker.com/static/forever/images/product/67ed1ef953105402f8b02745a1b3358e.256p.jpg","Mini ITX","AMD B650E",96,"DDR5","2","",349.99,"MOBO"
"Asus ROG STRIX Z790-F GAMING WIFI","https://pcpartpicker.com/product/hjt9TW/asus-rog-strix-z790-f-gaming-wifi-atx-lga1700-motherboard-rog-strix-z790-f-gaming-wifi","Asus","Asus ROG STRIX Z790-F GAMING WIFI ATX LGA1700 Motherboard","LGA1700","//cdna.pcpartpicker.com/static/forever/images/product/c35f94251014862326456a00eabf270e.256p.jpg","ATX","Intel Z790",192,"DDR5","4","2242/2260/2280/22110 M-key
                        
                            2242/2260/2280 M-key
                        
                            2242/2260/2280/22110 M-key
                        
                            2242/2260/2280 M-key",514,"MOBO"
"Asus PRIME Z490-P","https://pcpartpicker.com/product/fyRgXL/asus-prime-z490-p-atx-lga1200-motherboard-prime-z490-p","Asus","Asus PRIME Z490-P ATX LGA1200 Motherboard","LGA1200","//cdna.pcpartpicker.com/static/forever/images/product/3b490ce2d863a9c02c5022c8651a8d30.256p.jpg","ATX","Intel Z490",128,"DDR4","4","",299,"MOBO"
"MSI MPG Z390 GAMING PLUS","https://pcpartpicker.com/product/QDVD4D/msi-mpg-z390-gaming-plus-atx-lga1151-motherboard-mpg-z390-gaming-plus","MSI","MSI MPG Z390 GAMING PLUS ATX LGA1151 Motherboard","LGA1151","//cdna.pcpartpicker.com/static/forever/images/product/f68bd53f6c04fd23f6c3f2a1dfdaa1e2.256p.jpg","ATX","Intel Z390",128,"DDR4","4","",289,"MOBO"
"Asus ROG Strix X570-I Gaming","https://pcpartpicker.com/product/NqsnTW/asus-rog-strix-x570-i-gaming-mini-itx-am4-motherboard-rog-strix-x570-i-gaming","Asus","Asus ROG Strix X570-I Gaming Mini ITX AM4 Motherboard","AM4","//cdna.pcpartpicker.com/static/forever/images/product/8e75b0858ab998bd0664f5fb1912c9a0.256p.jpg","Mini ITX","AMD X570",64,"DDR4","2","",538.99,"MOBO"
"Asus PRIME B840-PLUS WIFI","https://pcpartpicker.com/product/Dpbypg/asus-prime-b840-plus-wifi-atx-am5-motherboard-prime-b840-plus-wifi","Asus","Asus PRIME B840-PLUS WIFI ATX AM5 Motherboard","AM5","https://m.media-amazon.com/images/I/51JlzVwM49L.jpg","ATX","AMD B840",192,"DDR5","4","2280 M-key
                        
                            2280 M-key
                        
                            2242/2260/2280 M-key",179.99,"MOBO"
"Asus PRIME B560M-A","https://pcpartpicker.com/product/ybjBD3/asus-prime-b560m-a-micro-atx-lga1200-motherboard-prime-b560m-a","Asus","Asus PRIME B560M-A Micro ATX LGA1200 Motherboard","LGA1200","https://m.media-amazon.com/images/I/51K+5rNV20L.jpg","Micro ATX","Intel B560",128,"DDR4","4","2242/2260/2280 M-key (Intel Rocket Lake-based CPUs only)
                        
                            2242/2260/2280 M-key
                        
                            2230 E-key",219.99,"MOBO"
"ASRock Z790 PG SONIC","https://pcpartpicker.com/product/y4KKHx/asrock-z790-pg-sonic-atx-lga1700-motherboard-z790-pg-sonic","ASRock","ASRock Z790 PG SONIC ATX LGA1700 Motherboard","LGA1700","//cdna.pcpartpicker.com/static/forever/images/product/b3cfd88d277accd9d8deb08293e4762b.256p.jpg","ATX","Intel Z790",192,"DDR5","4","",159.99,"MOBO"
"Gigabyte H370N WIFI","https://pcpartpicker.com/product/bwkj4D/gigabyte-h370n-wifi-mini-itx-lga1151-motherboard-h370n-wifi","Gigabyte","Gigabyte H370N WIFI Mini ITX LGA1151 Motherboard","LGA1151","//cdna.pcpartpicker.com/static/forever/images/product/80193a1f4302927811def8b06a9de7bc.256p.jpg","Mini ITX","Intel H370",32,"DDR4","2","",154.99,"MOBO"
"ASRock B760M Steel Legend WiFi","https://pcpartpicker.com/product/QJC48d/asrock-b760m-steel-legend-wifi-micro-atx-lga1700-motherboard-b760m-steel-legend-wifi","ASRock","ASRock B760M Steel Legend WiFi Micro ATX LGA1700 Motherboard","LGA1700","//cdna.pcpartpicker.com/static/forever/images/product/7016e17322fc1002bf4e9ebf3c9cc755.256p.jpg","Micro ATX","Intel B760",192,"DDR5","4","2260/2280 M-key
                        
                            2260/2280 M-key
                        
                            2260/2280 M-key
                        
                            2230 E-key",215.45,"MOBO"
"Gigabyte Z790 AORUS MASTER X","https://pcpartpicker.com/product/w626Mp/gigabyte-z790-aorus-master-x-eatx-lga1700-motherboard-z790-aorus-master-x","Gigabyte","Gigabyte Z790 AORUS MASTER X EATX LGA1700 Motherboard","LGA1700","//cdna.pcpartpicker.com/static/forever/images/product/9bef86e9d29c37ba74b97f179c07e12e.256p.jpg","EATX","Intel Z790",192,"DDR5","4","",449.99,"MOBO"
"ASRock Z890I Nova WiFi","https://pcpartpicker.com/product/GwGhP6/asrock-z890i-nova-wifi-mini-itx-lga1851-motherboard-z890i-nova-wifi","ASRock","ASRock Z890I Nova WiFi Mini ITX LGA1851 Motherboard","LGA1851","//cdna.pcpartpicker.com/static/forever/images/product/b2bb8e9560637ce9b779e19dd2e5e272.256p.jpg","Mini ITX","Intel Z890",128,"DDR5","2","",289.99,"MOBO"
"MSI MPG Z490 GAMING PLUS","https://pcpartpicker.com/product/YNTzK8/msi-mpg-z490-gaming-plus-atx-lga1200-motherboard-mpg-z490-gaming-plus","MSI","MSI MPG Z490 GAMING PLUS ATX LGA1200 Motherboard","LGA1200","//cdna.pcpartpicker.com/static/forever/images/product/e63a3a4436b6dfd5254125d5576357b6.256p.jpg","ATX","Intel Z490",128,"DDR4","4","",349,"MOBO"
"Gigabyte GA-H270N-WIFI","https://pcpartpicker.com/product/gVZ2FT/gigabyte-ga-h270n-wifi-mini-itx-lga1151-motherboard-ga-h270n-wifi","Gigabyte","Gigabyte GA-H270N-WIFI Mini ITX LGA1151 Motherboard","LGA1151","https://m.media-amazon.com/images/I/51mUju0EINL.jpg","Mini ITX","Intel H270",32,"DDR4","2","",224.04,"MOBO"
"Gigabyte B760 DS3H AC","https://pcpartpicker.com/product/96FmP6/gigabyte-b760-ds3h-ac-atx-lga1700-motherboard-b760-ds3h-ac","Gigabyte","Gigabyte B760 DS3H AC ATX LGA1700 Motherboard","LGA1700","https://m.media-amazon.com/images/I/41HyJXOEJ1L.jpg","ATX","Intel B760",192,"DDR5","4","",154.99,"MOBO"
"MSI A520M PRO","https://pcpartpicker.com/product/Zs4BD3/msi-a520m-pro-micro-atx-am4-motherboard-a520m-pro","MSI","MSI A520M PRO Micro ATX AM4 Motherboard","AM4","https://m.media-amazon.com/images/I/616yCV7o5pL.jpg","Micro ATX","AMD A520",64,"DDR4","2","",110.59,"MOBO"
"Gigabyte B650 UD AC","https://pcpartpicker.com/product/hsgrxr/gigabyte-b650-ud-ac-atx-am5-motherboard-b650-ud-ac","Gigabyte","Gigabyte B650 UD AC ATX AM5 Motherboard","AM5","//cdna.pcpartpicker.com/static/forever/images/product/4859a1f70e2605f784eed059b043aaab.256p.jpg","ATX","AMD B650",192,"DDR5","4","",169.99,"MOBO"
"MSI A320M-A PRO MAX","https://pcpartpicker.com/product/TWJmP6/msi-a320m-a-pro-max-micro-atx-am4-motherboard-a320m-a-pro-max","MSI","MSI A320M-A PRO MAX Micro ATX AM4 Motherboard","AM4","//cdna.pcpartpicker.com/static/forever/images/product/465dcc18fe3fdea273824ce2724509f1.256p.jpg","Micro ATX","AMD A320",32,"DDR4","2","",119.99,"MOBO"
"Asus TUF GAMING X570-PLUS","https://pcpartpicker.com/product/whMTwP/asus-tuf-gaming-x570-plus-atx-am4-motherboard-tuf-gaming-x570-plus","Asus","Asus TUF GAMING X570-PLUS ATX AM4 Motherboard","AM4","//cdna.pcpartpicker.com/static/forever/images/product/c96321a1e039a1f7fd1bc917c5ae72b7.256p.jpg","ATX","AMD X570",128,"DDR4","4","",389,"MOBO"
"MSI MPG Z690 EDGE WIFI DDR4","https://pcpartpicker.com/product/vM6p99/msi-mpg-z690-edge-wifi-ddr4-atx-lga1700-motherboard-mpg-z690-edge-wifi-ddr4","MSI","MSI MPG Z690 EDGE WIFI DDR4 ATX LGA1700 Motherboard","LGA1700","//cdna.pcpartpicker.com/static/forever/images/product/7bd129b49035870c6e05dea7d676c2fc.256p.jpg","ATX","Intel Z690",128,"DDR4","4","",380,"MOBO"
"ASRock B650M PG RIPTIDE","https://pcpartpicker.com/product/n8nypg/asrock-b650m-pg-riptide-micro-atx-am5-motherboard-b650m-pg-riptide","ASRock","ASRock B650M PG RIPTIDE Micro ATX AM5 Motherboard","AM5","//cdna.pcpartpicker.com/static/forever/images/product/35e87e8f9716f19c0b94ec1ab5d53b52.256p.jpg","Micro ATX","AMD B650",256,"DDR5","4","",200.99,"MOBO"
"Asus PRIME Z890M-PLUS WIFI","https://pcpartpicker.com/product/zsRwrH/asus-prime-z890m-plus-wifi-micro-atx-lga1851-motherboard-prime-z890m-plus-wifi","Asus","Asus PRIME Z890M-PLUS WIFI Micro ATX LGA1851 Motherboard","LGA1851","//cdna.pcpartpicker.com/static/forever/images/product/4c4a6fde402d0af7f5c696afad3ac1f6.256p.jpg","Micro ATX","Intel Z890",192,"DDR5","4","",214.99,"MOBO"
"Asus ROG STRIX Z890-H GAMING WIFI","https://pcpartpicker.com/product/76RnTW/asus-rog-strix-z890-h-gaming-wifi-atx-lga1851-motherboard-rog-strix-z890-h-gaming-wifi","Asus","Asus ROG STRIX Z890-H GAMING WIFI ATX LGA1851 Motherboard","LGA1851","https://m.media-amazon.com/images/I/51RAhVciEpL.jpg","ATX","Intel Z890",256,"DDR5","4","",329.99,"MOBO"
"MSI MAG X570S TOMAHAWK MAX WIFI","https://pcpartpicker.com/product/9BGbt6/msi-mag-x570s-tomahawk-max-wifi-atx-am4-motherboard-mag-x570s-tomahawk-max-wifi","MSI","MSI MAG X570S TOMAHAWK MAX WIFI ATX AM4 Motherboard","AM4","//cdna.pcpartpicker.com/static/forever/images/product/17b2fe7f91dc3d74fd0b7503dc6dd8ad.256p.jpg","ATX","AMD X570",128,"DDR4","4","",449,"MOBO"
"Asus TUF GAMING B850M-PLUS","https://pcpartpicker.com/product/CsJBD3/asus-tuf-gaming-b850m-plus-micro-atx-am5-motherboard-tuf-gaming-b850m-plus","Asus","Asus TUF GAMING B850M-PLUS Micro ATX AM5 Motherboard","AM5","https://m.media-amazon.com/images/I/51I30OrJodL.jpg","Micro ATX","AMD B850",192,"DDR5","4","2280 M-key
                        
                            2242/2260/2280 M-key
                        
                            2280 M-key",339.85,"MOBO"
"MSI MPG Z890I EDGE TI WIFI","https://pcpartpicker.com/product/ttxxFT/msi-mpg-z890i-edge-ti-wifi-mini-itx-lga1851-motherboard-mpg-z890i-edge-ti-wifi","MSI","MSI MPG Z890I EDGE TI WIFI Mini ITX LGA1851 Motherboard","LGA1851","//cdna.pcpartpicker.com/static/forever/images/product/d9abdb40e7d196aeac781afb2fe44778.256p.jpg","Mini ITX","Intel Z890",128,"DDR5","2","",409.99,"MOBO"
"Gigabyte H610M S2H V2","https://pcpartpicker.com/product/CZDQzy/gigabyte-h610m-s2h-v2-micro-atx-lga1700-motherboard-h610m-s2h-v2","Gigabyte","Gigabyte H610M S2H V2 Micro ATX LGA1700 Motherboard","LGA1700","https://m.media-amazon.com/images/I/610+cWAIcEL.jpg","Micro ATX","Intel H610",96,"DDR5","2","",98.99,"MOBO"
"Asus TUF GAMING A520M-PLUS II","https://pcpartpicker.com/product/YTsV3C/asus-tuf-gaming-a520m-plus-ii-micro-atx-am4-motherboard-tuf-gaming-a520m-plus-ii","Asus","Asus TUF GAMING A520M-PLUS II Micro ATX AM4 Motherboard","AM4","//cdna.pcpartpicker.com/static/forever/images/product/7d40b019f8b09b66ce42fe2babcbd8dc.256p.jpg","Micro ATX","AMD A520",128,"DDR4","4","",150.91,"MOBO"
"Gigabyte B450 AORUS M","https://pcpartpicker.com/product/WcjJ7P/gigabyte-b450-aorus-m-micro-atx-am4-motherboard-b450-aorus-m","Gigabyte","Gigabyte B450 AORUS M Micro ATX AM4 Motherboard","AM4","//cdna.pcpartpicker.com/static/forever/images/product/9c229eef9d9724da36a40412ab564c17.256p.jpg","Micro ATX","AMD B450",128,"DDR4","4","",148,"MOBO"
"ASRock B450 Pro4","https://pcpartpicker.com/product/PCKcCJ/asrock-b450-pro4-atx-am4-motherboard-b450-pro4","ASRock","ASRock B450 Pro4 ATX AM4 Motherboard","AM4","//cdna.pcpartpicker.com/static/forever/images/product/6af31fac978e4ad06f77903b4422f47d.256p.jpg","ATX","AMD B450",64,"DDR4","4","",139.68,"MOBO"
"Asus PRIME X570-PRO","https://pcpartpicker.com/product/DxrYcf/asus-prime-x570-pro-atx-am4-motherboard-prime-x570-pro","Asus","Asus PRIME X570-PRO ATX AM4 Motherboard","AM4","//cdna.pcpartpicker.com/static/forever/images/product/b06a90d7ec5a485121a21751cdc3d9b9.256p.jpg","ATX","AMD X570",128,"DDR4","4","",459,"MOBO"
"Asus ROG MAXIMUS Z790 FORMULA","https://pcpartpicker.com/product/V6mNnQ/asus-rog-maximus-z790-formula-atx-lga1700-motherboard-rog-maximus-z790-formula","Asus","Asus ROG MAXIMUS Z790 FORMULA ATX LGA1700 Motherboard","LGA1700","//cdna.pcpartpicker.com/static/forever/images/product/6bcf5b97a60640346360d29a75dbe3b6.256p.jpg","ATX","Intel Z790",192,"DDR5","4","2242/2260/2280/22110 M-key
                        
                            2242/2260/2280 M-key
                        
                            2242/2260/2280 M-key
                        
                            2280 M-key
                        
                            2280 M-key",1269,"MOBO"
"ASRock H610M-ITX/eDP","https://pcpartpicker.com/product/WwM48d/asrock-h610m-itxedp-mini-itx-lga1700-motherboard-h610m-itxedp","ASRock","ASRock H610M-ITX/eDP Mini ITX LGA1700 Motherboard","LGA1700","//cdna.pcpartpicker.com/static/forever/images/product/7a31f350898b15d320c00478dc2488cf.256p.jpg","Mini ITX","Intel H610",64,"DDR4","2","",120.99,"MOBO"
"Gigabyte B650M DS3H","https://pcpartpicker.com/product/7pytt6/gigabyte-b650m-ds3h-micro-atx-am5-motherboard-b650m-ds3h","Gigabyte","Gigabyte B650M DS3H Micro ATX AM5 Motherboard","AM5","//cdna.pcpartpicker.com/static/forever/images/product/c2e7c6c86640a343fb44ae052217c200.256p.jpg","Micro ATX","AMD B650",192,"DDR5","4","2580/25110 M-key
                        
                            2580/25110 M-key",209.34,"MOBO"
"MSI PRO Z890-P WIFI","https://pcpartpicker.com/product/C9hv6h/msi-pro-z890-p-wifi-atx-lga1851-motherboard-pro-z890-p-wifi","MSI","MSI PRO Z890-P WIFI ATX LGA1851 Motherboard","LGA1851","//cdna.pcpartpicker.com/static/forever/images/product/3b787e7524b2e464c1fd53821e480fd5.256p.jpg","ATX","Intel Z890",256,"DDR5","4","2260/2280 M-key
                        
                            2260/2280/22110 M-key
                        
                            2242/2260/2280 M-key
                        
                            2242/2260/2280 M-key",224.99,"MOBO"
"ASRock B760M-ITX/D4 WiFi","https://pcpartpicker.com/product/3xLFf7/asrock-b760m-itxd4-wifi-mini-itx-lga1700-motherboard-b760m-itxd4-wifi","ASRock","ASRock B760M-ITX/D4 WiFi Mini ITX LGA1700 Motherboard","LGA1700","//cdna.pcpartpicker.com/static/forever/images/product/b8646e92e87b1c16015c33affa1529bc.256p.jpg","Mini ITX","Intel B760",64,"DDR4","2","",164.99,"MOBO"
"Asus TUF GAMING B450M-PLUS II","https://pcpartpicker.com/product/DYNxFT/asus-tuf-gaming-b450m-plus-ii-micro-atx-am4-motherboard-tuf-gaming-b450m-plus-ii","Asus","Asus TUF GAMING B450M-PLUS II Micro ATX AM4 Motherboard","AM4","//cdna.pcpartpicker.com/static/forever/images/product/68305fa9e238881f1a689561a3170724.256p.jpg","Micro ATX","AMD B450",128,"DDR4","4","",160.99,"MOBO"
"Gigabyte Z890M AORUS ELITE WIFI7 ICE","https://pcpartpicker.com/product/N9hv6h/gigabyte-z890m-aorus-elite-wifi7-ice-micro-atx-lga1851-motherboard-z890m-aorus-elite-wifi7-ice","Gigabyte","Gigabyte Z890M AORUS ELITE WIFI7 ICE Micro ATX LGA1851 Motherboard","LGA1851","//cdna.pcpartpicker.com/static/forever/images/product/0f5b0e558ca949041f1066fc32af2307.256p.jpg","Micro ATX","Intel Z890",256,"DDR5","4","",209.99,"MOBO"
"Gigabyte Z790 D AX","https://pcpartpicker.com/product/B4vD4D/gigabyte-z790-d-ax-atx-lga1700-motherboard-z790-d-ax","Gigabyte","Gigabyte Z790 D AX ATX LGA1700 Motherboard","LGA1700","//cdna.pcpartpicker.com/static/forever/images/product/760d55356501261799eed10443fab2be.256p.jpg","ATX","Intel Z790",192,"DDR5","4","2280/22110 M-key
                        
                            2280 M-key
                        
                            2280 M-key",261.83,"MOBO"
"MSI MPG Z890 CARBON WIFI","https://pcpartpicker.com/product/xPtLrH/msi-mpg-z890-carbon-wifi-atx-lga1851-motherboard-mpg-z890-carbon-wifi","MSI","MSI MPG Z890 CARBON WIFI ATX LGA1851 Motherboard","LGA1851","//cdna.pcpartpicker.com/static/forever/images/product/e7338afef7f4f1d4b4d9415c7e08a440.256p.jpg","ATX","Intel Z890",256,"DDR5","4","",430,"MOBO"
"ASRock B550 Pro4","https://pcpartpicker.com/product/T3XYcf/asrock-b550-pro4-atx-am4-motherboard-b550-pro4","ASRock","ASRock B550 Pro4 ATX AM4 Motherboard","AM4","//cdna.pcpartpicker.com/static/forever/images/product/9c582991edb4ccf7cdaaab81543bf668.256p.jpg","ATX","AMD B550",128,"DDR4","4","",139,"MOBO"
"Gigabyte TRX40 AORUS MASTER","https://pcpartpicker.com/product/69848d/gigabyte-trx40-aorus-master-eatx-strx4-motherboard-trx40-aorus-master","Gigabyte","Gigabyte TRX40 AORUS MASTER EATX sTRX4 Motherboard","sTRX4","//cdna.pcpartpicker.com/static/forever/images/product/0262d145d764aadb9c60889ad23605ac.256p.jpg","EATX","AMD TRX40",256,"DDR4","8","",585,"MOBO"
"MSI PRO Z690-A WIFI","https://pcpartpicker.com/product/K9Fbt6/msi-pro-z690-a-wifi-atx-lga1700-motherboard-pro-z690-a-wifi","MSI","MSI PRO Z690-A WIFI ATX LGA1700 Motherboard","LGA1700","//cdna.pcpartpicker.com/static/forever/images/product/b92bb62d182daebc0d9f5494dd0b2b68.256p.jpg","ATX","Intel Z690",192,"DDR5","4","",220,"MOBO"
"Asus TUF GAMING Z690-PLUS WIFI","https://pcpartpicker.com/product/Xpnypg/asus-tuf-gaming-z690-plus-wifi-atx-lga1700-motherboard-tuf-gaming-z690-plus-wifi","Asus","Asus TUF GAMING Z690-PLUS WIFI ATX LGA1700 Motherboard","LGA1700","//cdna.pcpartpicker.com/static/forever/images/product/bbcbadd34fbafd7aec92df1961872b0f.256p.jpg","ATX","Intel Z690",192,"DDR5","4","",199.99,"MOBO"
"MSI MEG Z790 ACE MAX","https://pcpartpicker.com/product/MJNYcf/msi-meg-z790-ace-max-eatx-lga1700-motherboard-meg-z790-ace-max","MSI","MSI MEG Z790 ACE MAX EATX LGA1700 Motherboard","LGA1700","//cdna.pcpartpicker.com/static/forever/images/product/024eb988851c0b8c2ed60770af35f937.256p.jpg","EATX","Intel Z790",192,"DDR5","4","",699.99,"MOBO"
