"product","product.href","Manufacturer","name","socket","image","form_factor","chipset","max_memory","memory_type","memory_slots","m2_slot","price","category"
"ASRock Z890 Riptide WiFi","https://pcpartpicker.com/product/nCsV3C/asrock-z890-riptide-wifi-atx-lga1851-motherboard-z890-riptide-wifi","ASRock","ASRock Z890 Riptide WiFi ATX LGA1851 Motherboard","LGA1851","//cdna.pcpartpicker.com/static/forever/images/product/611b8e9459084de39235fa27e489ee1d.256p.jpg","ATX","Intel Z890",256,"DDR5","4","2280 M-key
                        
                            2280 M-key
                        
                            2280 M-key
                        
                            2280 M-key
                        
                            2230/2242/2260/2280 M-key
                        
                            2230 E-key",299.99,"MOBO"
"ASRock B860M Pro RS","https://pcpartpicker.com/product/ntgZxr/asrock-b860m-pro-rs-micro-atx-lga1851-motherboard-b860m-pro-rs","ASRock","ASRock B860M Pro RS Micro ATX LGA1851 Motherboard","LGA1851","//cdna.pcpartpicker.com/static/forever/images/product/3f15a410eff2755d784ff80a5cc2828e.256p.jpg","Micro ATX","Intel B860",256,"DDR5","4","2280 M-key
                        
                            2230/2242/2260/2280 M-key
                        
                            2280 M-key
                        
                            2230 E-key",149.99,"MOBO"
"Gigabyte B860 GAMING X WIFI6E","https://pcpartpicker.com/product/kgwD4D/gigabyte-b860-gaming-x-wifi6e-atx-lga1851-motherboard-b860-gaming-x-wifi6e","Gigabyte","Gigabyte B860 GAMING X WIFI6E ATX LGA1851 Motherboard","LGA1851","//cdna.pcpartpicker.com/static/forever/images/product/e0f8be3be20f075bf53cfb5d9f9cd1da.256p.jpg","ATX","Intel B860",256,"DDR5","4","",179.99,"MOBO"
"ASRock H610M-HVS","https://pcpartpicker.com/product/GhxRsY/asrock-h610m-hvs-micro-atx-lga1700-motherboard-h610m-hvs","ASRock","ASRock H610M-HVS Micro ATX LGA1700 Motherboard","LGA1700","//cdna.pcpartpicker.com/static/forever/images/product/36ac403a9360a338e354f0b4740115ce.256p.jpg","Micro ATX","Intel H610",64,"DDR4","2","",103.49,"MOBO"
"ASRock B860 Lightning WiFi","https://pcpartpicker.com/product/Y9JBD3/asrock-b860-lightning-wifi-atx-lga1851-motherboard-b860-lightning-wifi","ASRock","ASRock B860 Lightning WiFi ATX LGA1851 Motherboard","LGA1851","//cdna.pcpartpicker.com/static/forever/images/product/1ebd6134830c29b410b9f6c0f7d15957.256p.jpg","ATX","Intel B860",256,"DDR5","4","",209.99,"MOBO"
"Asus Z170-AR","https://pcpartpicker.com/product/FhgPxr/asus-motherboard-z170ar","Asus","Asus Z170-AR ATX LGA1151 Motherboard","LGA1151","//cdna.pcpartpicker.com/static/forever/images/product/5c17ab8ab55c7fc230a9f13136078928.256p.jpg","ATX","Intel Z170",64,"DDR4","4","",349.99,"MOBO"
"MSI MEG B550 UNIFY-X","https://pcpartpicker.com/product/LwGnTW/msi-meg-b550-unify-x-atx-am4-motherboard-meg-b550-unify-x","MSI","MSI MEG B550 UNIFY-X ATX AM4 Motherboard","AM4","//cdna.pcpartpicker.com/static/forever/images/product/31140f5436a0a0a255c3ad661944f07d.256p.jpg","ATX","AMD B550",64,"DDR4","2","",429.99,"MOBO"
"Gigabyte B860M GAMING X WIFI6E","https://pcpartpicker.com/product/KcYfrH/gigabyte-b860m-gaming-x-wifi6e-micro-atx-lga1851-motherboard-b860m-gaming-x-wifi6e","Gigabyte","Gigabyte B860M GAMING X WIFI6E Micro ATX LGA1851 Motherboard","LGA1851","//cdna.pcpartpicker.com/static/forever/images/product/6639a667d3cc8842dc519cd9c5b69ea4.256p.jpg","Micro ATX","Intel B860",256,"DDR5","4","",169.99,"MOBO"
"Asus ROG MAXIMUS XII FORMULA","https://pcpartpicker.com/product/P9pmP6/asus-rog-maximus-xii-formula-atx-lga1200-motherboard-rog-maximus-xii-formula","Asus","Asus ROG MAXIMUS XII FORMULA ATX LGA1200 Motherboard","LGA1200","//cdna.pcpartpicker.com/static/forever/images/product/200641bc77489636f9c30d0b09f5c041.256p.jpg","ATX","Intel Z490",128,"DDR4","4","",654,"MOBO"
"Gigabyte Z690 AORUS ULTRA","https://pcpartpicker.com/product/bPYmP6/gigabyte-z690-aorus-ultra-atx-lga1700-motherboard-z690-aorus-ultra","Gigabyte","Gigabyte Z690 AORUS ULTRA ATX LGA1700 Motherboard","LGA1700","//cdna.pcpartpicker.com/static/forever/images/product/0798ba78058487d1bf6f360dac772b29.256p.jpg","ATX","Intel Z690",192,"DDR5","4","2260/2280/22110 M-key
                        
                            2260/2280/22110 M-key
                        
                            2260/2280/22110 M-key
                        
                            2260/2280/22110 M-key",359.99,"MOBO"
"Gigabyte Z390 DESIGNARE","https://pcpartpicker.com/product/ycL48d/gigabyte-z390-designare-atx-lga1151-motherboard-z390-designare","Gigabyte","Gigabyte Z390 DESIGNARE ATX LGA1151 Motherboard","LGA1151","//cdna.pcpartpicker.com/static/forever/images/product/e6ca8ab53946c008e506432f0ee86a3b.256p.jpg","ATX","Intel Z390",128,"DDR4","4","",434,"MOBO"
"ASRock B760M-H/M.2","https://pcpartpicker.com/product/jpDQzy/asrock-b760m-hm2-micro-atx-lga1700-motherboard-b760m-hm2","ASRock","ASRock B760M-H/M.2 Micro ATX LGA1700 Motherboard","LGA1700","//cdna.pcpartpicker.com/static/forever/images/product/415658b82f771d6448e27297e6724bb7.256p.jpg","Micro ATX","Intel B760",96,"DDR5","2","2260/2280 M-key
                        
                            2280 M-key
                        
                            2230 E-key",123.53,"MOBO"
"Asus PRIME H610M-D D4","https://pcpartpicker.com/product/N9PQzy/asus-prime-h610m-d-d4-micro-atx-lga1700-motherboard-prime-h610m-d-d4","Asus","Asus PRIME H610M-D D4 Micro ATX LGA1700 Motherboard","LGA1700","//cdna.pcpartpicker.com/static/forever/images/product/1053c11813900b46330137539c53ecf6.256p.jpg","Micro ATX","Intel H610",64,"DDR4","2","",141.76,"MOBO"
"Asus ROG MAXIMUS XI FORMULA","https://pcpartpicker.com/product/jGYLrH/asus-rog-maximus-xi-formula-atx-lga1151-motherboard-rog-maximus-xi-formula","Asus","Asus ROG MAXIMUS XI FORMULA ATX LGA1151 Motherboard","LGA1151","https://m.media-amazon.com/images/I/51Da8b0-5+L.jpg","ATX","Intel Z390",128,"DDR4","4","",589,"MOBO"
"Gigabyte B860 DS3H WIFI6E","https://pcpartpicker.com/product/9tgZxr/gigabyte-b860-ds3h-wifi6e-atx-lga1851-motherboard-b860-ds3h-wifi6e","Gigabyte","Gigabyte B860 DS3H WIFI6E ATX LGA1851 Motherboard","LGA1851","https://m.media-amazon.com/images/I/51X-mqfZw7L.jpg","ATX","Intel B860",256,"DDR5","4","",139.99,"MOBO"
"Supermicro C7Z170-OCE","https://pcpartpicker.com/product/LPFXsY/supermicro-c7z170-oce-atx-lga1151-motherboard-c7z170-oce","Supermicro","Supermicro C7Z170-OCE ATX LGA1151 Motherboard","LGA1151","//cdna.pcpartpicker.com/static/forever/images/product/fca21e53a2e3393566d2842f26010bf6.256p.jpg","ATX","Intel Z170",64,"DDR4","4","",495,"MOBO"
"Gigabyte Z690 AORUS PRO","https://pcpartpicker.com/product/gyytt6/gigabyte-z690-aorus-pro-atx-lga1700-motherboard-z690-aorus-pro","Gigabyte","Gigabyte Z690 AORUS PRO ATX LGA1700 Motherboard","LGA1700","//cdna.pcpartpicker.com/static/forever/images/product/e9ca40040bf3b820315f0c355fb0c623.256p.jpg","ATX","Intel Z690",192,"DDR5","4","2260/2280/22110 M-key
                        
                            2260/2280/22110 M-key
                        
                            2260/2280/22110 M-key
                        
                            2260/2280/22110 M-key",399.99,"MOBO"
"Asus ProArt Z690-CREATOR WIFI","https://pcpartpicker.com/product/tPYmP6/asus-proart-z690-creator-wifi-atx-lga1700-motherboard-proart-z690-creator-wifi","Asus","Asus ProArt Z690-CREATOR WIFI ATX LGA1700 Motherboard","LGA1700","//cdna.pcpartpicker.com/static/forever/images/product/5bc96193a9aa7440282d9cb9e275d482.256p.jpg","ATX","Intel Z690",192,"DDR5","4","",449.99,"MOBO"
"Gigabyte H610M K V2","https://pcpartpicker.com/product/wmvD4D/gigabyte-h610m-k-v2-micro-atx-lga1700-motherboard-h610m-k-v2","Gigabyte","Gigabyte H610M K V2 Micro ATX LGA1700 Motherboard","LGA1700","//cdna.pcpartpicker.com/static/forever/images/product/770e3cb54e01e399cac73cb81e08d2eb.256p.jpg","Micro ATX","Intel H610",96,"DDR5","2","",156.91,"MOBO"
"MSI Z270 SLI PLUS","https://pcpartpicker.com/product/G9X2FT/msi-z270-sli-plus-atx-lga1151-motherboard-z270-sli-plus","MSI","MSI Z270 SLI PLUS ATX LGA1151 Motherboard","LGA1151","//cdna.pcpartpicker.com/static/forever/images/product/8184637de3db533347a5ee24d1dd9041.256p.jpg","ATX","Intel Z270",64,"DDR4","4","",400,"MOBO"
"Asus PRIME B650M-A-CSM","https://pcpartpicker.com/product/yVYRsY/asus-prime-b650m-a-csm-micro-atx-am5-motherboard-prime-b650m-a-csm","Asus","Asus PRIME B650M-A-CSM Micro ATX AM5 Motherboard","AM5","//cdna.pcpartpicker.com/static/forever/images/product/924954f164466be7ba031d7aac3daaca.256p.jpg","Micro ATX","AMD B650",128,"DDR5","4","",177,"MOBO"
"Asus PRIME A320M-E","https://pcpartpicker.com/product/wJddnQ/asus-prime-a320m-e-micro-atx-am4-motherboard-prime-a320m-e","Asus","Asus PRIME A320M-E Micro ATX AM4 Motherboard","AM4","//cdna.pcpartpicker.com/static/forever/images/product/6bf00f17b159206b3c22419090fea3c7.256p.jpg","Micro ATX","AMD A320",64,"DDR4","2","",237,"MOBO"
"Gigabyte GA-B250-HD3","https://pcpartpicker.com/product/R2Z2FT/gigabyte-ga-b250-hd3-atx-lga1151-motherboard-ga-b250-hd3","Gigabyte","Gigabyte GA-B250-HD3 ATX LGA1151 Motherboard","LGA1151","//cdna.pcpartpicker.com/static/forever/images/product/291ec865c6acf66c267356fa7c29c0db.256p.jpg","ATX","Intel B250",64,"DDR4","4","",245,"MOBO"
"ASRock Z890 Taichi OCF","https://pcpartpicker.com/product/br26Mp/asrock-z890-taichi-ocf-atx-lga1851-motherboard-z890-taichi-ocf","ASRock","ASRock Z890 Taichi OCF ATX LGA1851 Motherboard","LGA1851","//cdna.pcpartpicker.com/static/forever/images/product/2dc1708aea35a68e3da7ef73dbfa9502.256p.jpg","ATX","Intel Z890",128,"DDR5","2","2280 M-key
                        
                            2280 M-key
                        
                            2260/2280 M-key
                        
                            2260/2280 M-key
                        
                            2260/2280 M-key
                        
                            2260/2280 M-key
                        
                             E-key",473.99,"MOBO"
"Asus PRO H610M-CT D4-CSM","https://pcpartpicker.com/product/vJQcCJ/asus-pro-h610m-ct-d4-csm-micro-atx-lga1700-motherboard-pro-h610m-ct-d4-csm","Asus","Asus PRO H610M-CT D4-CSM Micro ATX LGA1700 Motherboard","LGA1700","//cdna.pcpartpicker.com/static/forever/images/product/a73a9c8fdc19343f293607def42c1ff1.256p.jpg","Micro ATX","Intel H610",64,"DDR4","2","",109.99,"MOBO"
"Asus Pro WS X570-ACE","https://pcpartpicker.com/product/n7PgXL/asus-pro-ws-x570-ace-atx-am4-motherboard-pro-ws-x570-ace","Asus","Asus Pro WS X570-ACE ATX AM4 Motherboard","AM4","//cdna.pcpartpicker.com/static/forever/images/product/c6263d0f6befa67835e41c22a8d50d88.256p.jpg","ATX","AMD X570",128,"DDR4","4","",579.99,"MOBO"
"ASRock B860M Lightning WiFi","https://pcpartpicker.com/product/MbXMnQ/asrock-b860m-lightning-wifi-micro-atx-lga1851-motherboard-b860m-lightning-wifi","ASRock","ASRock B860M Lightning WiFi Micro ATX LGA1851 Motherboard","LGA1851","//cdna.pcpartpicker.com/static/forever/images/product/a99c5639a022a9563440d37567172a8e.256p.jpg","Micro ATX","Intel B860",256,"DDR5","4","",189.99,"MOBO"
"Gigabyte H810M S2H","https://pcpartpicker.com/product/zTCCmG/gigabyte-h810m-s2h-micro-atx-lga1851-motherboard-h810m-s2h","Gigabyte","Gigabyte H810M S2H Micro ATX LGA1851 Motherboard","LGA1851","//cdna.pcpartpicker.com/static/forever/images/product/94caad31ac99029c3bddae92d440a209.256p.jpg","Micro ATX","Intel H810",128,"DDR5","2","",119.99,"MOBO"
"Asus TUF GAMING A520M-PLUS","https://pcpartpicker.com/product/KpCFf7/asus-tuf-gaming-a520m-plus-micro-atx-am4-motherboard-tuf-gaming-a520m-plus","Asus","Asus TUF GAMING A520M-PLUS Micro ATX AM4 Motherboard","AM4","//cdna.pcpartpicker.com/static/forever/images/product/f6fa8a983122641ec914fd3c662fdff6.256p.jpg","Micro ATX","AMD A520",128,"DDR4","4","2242/2260/2280/22110 M-key
                        
                            2230 E-key",151.88,"MOBO"
"Gigabyte B760 GAMING X AX DDR4","https://pcpartpicker.com/product/GxZ9TW/gigabyte-b760-gaming-x-ax-ddr4-atx-lga1700-motherboard-b760-gaming-x-ax-ddr4","Gigabyte","Gigabyte B760 GAMING X AX DDR4 ATX LGA1700 Motherboard","LGA1700","//cdna.pcpartpicker.com/static/forever/images/product/6d2f9d2b94400d40c34d12a26bd24fea.256p.jpg","ATX","Intel B760",128,"DDR4","4","",248.71,"MOBO"
"ASRock Z270 Killer SLI/ac","https://pcpartpicker.com/product/jtH48d/asrock-z270-killer-sliac-atx-lga1151-motherboard-z270-killer-sliac","ASRock","ASRock Z270 Killer SLI/ac ATX LGA1151 Motherboard","LGA1151","//cdna.pcpartpicker.com/static/forever/images/product/61036e98987f7d01afc7744a87620d8f.256p.jpg","ATX","Intel Z270",64,"DDR4","4","",700,"MOBO"
"Asus PRIME Z890-P","https://pcpartpicker.com/product/jKCZxr/asus-prime-z890-p-atx-lga1851-motherboard-prime-z890-p","Asus","Asus PRIME Z890-P ATX LGA1851 Motherboard","LGA1851","https://m.media-amazon.com/images/I/51kAK9nvlcL.jpg","ATX","Intel Z890",192,"DDR5","4","",356.27,"MOBO"
"ASRock X299 Taichi CLX","https://pcpartpicker.com/product/xfdrxr/asrock-x299-taichi-clx-atx-lga2066-motherboard-x299-taichi-clx","ASRock","ASRock X299 Taichi CLX ATX LGA2066 Motherboard","LGA2066","//cdna.pcpartpicker.com/static/forever/images/product/e497bffa58011f6eb12a0c7acf75acb0.256p.jpg","ATX","Intel X299",256,"DDR4","8","",199.99,"MOBO"
"Asus PRIME A320I-K/CSM","https://pcpartpicker.com/product/JcVG3C/asus-prime-a320i-kcsm-mini-itx-am4-motherboard-prime-a320i-kcsm","Asus","Asus PRIME A320I-K/CSM Mini ITX AM4 Motherboard","AM4","//cdna.pcpartpicker.com/static/forever/images/product/95865c1eb9bf1a973259c7f5112ecad3.256p.jpg","Mini ITX","AMD A320",32,"DDR4","2","",175.95,"MOBO"
"Asus PRIME A520M-E","https://pcpartpicker.com/product/fvXYcf/asus-prime-a520m-e-micro-atx-am4-motherboard-prime-a520m-e","Asus","Asus PRIME A520M-E Micro ATX AM4 Motherboard","AM4","//cdna.pcpartpicker.com/static/forever/images/product/058c2ed4146c9edbacf2a651788a5b57.256p.jpg","Micro ATX","AMD A520",64,"DDR4","2","",159.9,"MOBO"
"Gigabyte Z490 UD","https://pcpartpicker.com/product/b9PgXL/gigabyte-z490-ud-atx-lga1200-motherboard-z490-ud","Gigabyte","Gigabyte Z490 UD ATX LGA1200 Motherboard","LGA1200","//cdna.pcpartpicker.com/static/forever/images/product/b786180ce0187fec555ee7a00a413343.256p.jpg","ATX","Intel Z490",128,"DDR4","4","",296,"MOBO"
"ASRock Z890 Lightning WiFi","https://pcpartpicker.com/product/NDpQzy/asrock-z890-lightning-wifi-atx-lga1851-motherboard-z890-lightning-wifi","ASRock","ASRock Z890 Lightning WiFi ATX LGA1851 Motherboard","LGA1851","//cdna.pcpartpicker.com/static/forever/images/product/66ab30ed8e3574e96b3ed174badc25c3.256p.jpg","ATX","Intel Z890",256,"DDR5","4","2280 M-key
                        
                            2280 M-key
                        
                            2280 M-key
                        
                            2230/2242/2260/2280 M-key
                        
                            2230 E-key",257.06,"MOBO"
"Gigabyte Z490 AORUS ELITE AC","https://pcpartpicker.com/product/DZPgXL/gigabyte-z490-aorus-elite-ac-atx-lga1200-motherboard-z490-aorus-elite-ac","Gigabyte","Gigabyte Z490 AORUS ELITE AC ATX LGA1200 Motherboard","LGA1200","//cdna.pcpartpicker.com/static/forever/images/product/6382da9b28009771892408034c177d0b.256p.jpg","ATX","Intel Z490",128,"DDR4","4","",330,"MOBO"
