"name","price","tdp","date","socket","speed","turbo","cores"
"Intel Core i7-11700T @ 1.40GHz",323,35,"2021-10-01","LGA1200",1400,4600,8
"Intel Core i7-12700",328.98,65,"2022-01-01","LGA1700",2100,4900,8
"Intel Core i7-12700F",269.99,65,"2022-01-01","LGA1700",2100,4900,8
"Intel Core i7-12700K",409,190,"2021-11-01","LGA1700",3600,5000,8
"Intel Core i7-12700KF",297,190,"2021-11-01","LGA1700",3600,5000,8
"Intel Core i7-12700T",339,35,"2022-04-01","LGA1700",1400,4700,8
"Intel Core i7-13700K",439.99,125,"2022-10-01","LGA1700",4200,5400,8
"Intel Core i7-13700KF",422.61,125,"2022-10-01","LGA1700",4200,5400,8
"Intel Core i7-8086K @ 4.00GHz",681.99,95,"2018-06-01","LGA1151-2",4000,5000,6
"Intel Core i7-8700T @ 2.40GHz",335,35,"2018-03-01","LGA1151-2",2400,4000,6
"Intel Core i7-9700 @ 3.00GHz",284.99,65,"2019-06-01","LGA1151-2",3000,4700,8
"Intel Core i7-9700E @ 2.60GHz",323,65,"2020-11-01","LGA1151-2",2600,4400,8
"Intel Core i7-9700F @ 3.00GHz",215.36,65,"2019-06-01","LGA1151-2",3000,4700,8
"Intel Core i7-9700K @ 3.60GHz",299.99,95,"2018-10-01","LGA1151-2",3600,4900,8
"Intel Core i7-9700KF @ 3.60GHz",278.82,95,"2019-04-01","LGA1151-2",3600,4900,8
"Intel Core i7-9700T @ 2.00GHz",323,35,"2019-07-01","LGA1151-2",2000,4300,8
"Intel Core i9-10850K @ 3.60GHz",349.99,125,"2020-08-01","LGA1200",3600,5100,10
"Intel Core i9-10900 @ 2.80GHz",449.35,65,"2020-05-01","LGA1200",2800,5200,10
"Intel Core i9-10900F @ 2.80GHz",402.99,65,"2020-07-01","LGA1200",2800,5200,10
"Intel Core i9-10900K @ 3.70GHz",370.99,125,"2020-05-01","LGA1200",3700,5300,10
"Intel Core i9-10900KF @ 3.70GHz",388.38,125,"2020-06-01","LGA1200",3700,5300,10
"Intel Core i9-10900T @ 1.90GHz",339.99,35,"2020-06-01","LGA1200",1900,4600,10
