name,price,image,category,specifications,uid
Intel Celeron G4930 @ 3.20GHz,52.99,,CPU,"{'tdp': 54, 'date': '2019-09-01', 'socket': 'LGA1151-2', 'speed': 3200, 'turbo': 3200, 'cores': 2}",cc28e3ce-3cc1-4f6c-b79c-c5205f99339c
Intel Celeron G5900 @ 3.40GHz,72.49,,CPU,"{'tdp': 58, 'date': '2020-06-01', 'socket': 'LGA1200', 'speed': 3400, 'turbo': 3400, 'cores': 2}",11638fcd-5b62-4b8e-86e0-8494cd1e9bd7
Intel Celeron G5900T @ 3.20GHz,42.0,,CPU,"{'tdp': 35, 'date': '2021-10-01', 'socket': 'LGA1200', 'speed': 3200, 'turbo': 3200, 'cores': 2}",3a728ab1-f14c-4dc8-b67e-78cc1ce5a23c
Intel Celeron G5905 @ 3.50GHz,36.99,,CPU,"{'tdp': 58, 'date': '2020-09-01', 'socket': 'LGA1200', 'speed': 3500, 'turbo': 3500, 'cores': 2}",764df90c-4681-434d-8a31-d65ddb888ade
Intel Celeron G5905T @ 3.30GHz,42.0,,CPU,"{'tdp': 35, 'date': '2021-05-01', 'socket': 'LGA1200', 'speed': 3300, 'turbo': 3300, 'cores': 2}",e7806c1e-7509-4be5-9aed-91fbdb1680f4
Intel Celeron G5920 @ 3.50GHz,53.0,,CPU,"{'tdp': 58, 'date': '2020-12-01', 'socket': 'LGA1200', 'speed': 3500, 'turbo': 3500, 'cores': 2}",fa53cc4a-b80c-4b52-b1a5-3a6023cbd8cb
Intel Celeron G5925 @ 3.60GHz,64.99,,CPU,"{'tdp': 58, 'date': '2021-06-01', 'socket': 'LGA1200', 'speed': 3600, 'turbo': 3600, 'cores': 2}",7c3866c0-85dd-406b-b33e-764d314c12ce
Intel Celeron G6900T,42.0,,CPU,"{'tdp': 35, 'date': '2022-07-01', 'socket': 'LGA1700', 'speed': 2800, 'turbo': 2800, 'cores': 2}",35a4776b-3bd3-4159-8519-42e54f892d52
Intel Core i3-10100 @ 3.60GHz,104.0,,CPU,"{'tdp': 65, 'date': '2020-05-01', 'socket': 'LGA1200', 'speed': 3600, 'turbo': 4300, 'cores': 4}",47607479-50c1-44d8-8b4b-c61c87c63c7f
Intel Core i3-10100F @ 3.60GHz,75.99,,CPU,"{'tdp': 65, 'date': '2020-10-01', 'socket': 'LGA1200', 'speed': 3600, 'turbo': 4300, 'cores': 4}",2a6aa85c-e400-4eb1-bb95-5f78f36b5167
Intel Core i3-10105 @ 3.70GHz,114.99,,CPU,"{'tdp': 65, 'date': '2021-04-01', 'socket': 'LGA1200', 'speed': 3700, 'turbo': 4400, 'cores': 4}",4418be85-e1e9-4af5-8704-45e3ff7a8fbd
Intel Core i3-10105F @ 3.70GHz,85.19,,CPU,"{'tdp': 0, 'date': '2021-03-01', 'socket': 'LGA1200', 'speed': 3700, 'turbo': 4400, 'cores': 4}",1a836e03-ca05-4e5c-ae02-6999091a4b1a
Intel Core i3-10105T @ 3.00GHz,122.0,,CPU,"{'tdp': 35, 'date': '2021-06-01', 'socket': 'LGA1200', 'speed': 3000, 'turbo': 3900, 'cores': 4}",a06a24af-aaea-4163-807f-e29c485188e5
Intel Core i3-10300 @ 3.70GHz,169.99,,CPU,"{'tdp': 65, 'date': '2020-06-01', 'socket': 'LGA1200', 'speed': 3700, 'turbo': 4400, 'cores': 4}",5bc7d68f-14b6-45c4-9977-c0da839fa4b3
Intel Core i3-10300T @ 3.00GHz,193.97,,CPU,"{'tdp': 35, 'date': '2020-09-01', 'socket': 'LGA1200', 'speed': 3000, 'turbo': 3900, 'cores': 4}",291aeaa2-048c-47e7-8f5f-d590ab36285e
