"","name","price","socket","form_factor","max_memory","memory_slots","color"
"110","MSI PRO H610M-G WIFI DDR4",99,"LGA1700","Micro ATX",64,2,"Black / Silver"
"111","ASRock H610M-HVS",69.98,"LGA1700","Micro ATX",64,2,"Gray / Black"
"112","MSI MPG Z790 EDGE TI MAX WIFI",299.99,"LGA1700","ATX",192,4,"Silver / Black"
"113","ASRock B650E PG RIPTIDE WIFI",189.99,"AM5","ATX",192,4,"Black / Blue"
"114","MSI B650M GAMING PLUS WIFI",NA,"AM5","Micro ATX",192,4,"Silver / Black"
"115","ASRock Z690 Extreme",129.99,"LGA1700","ATX",128,4,"Black / Silver"
"116","Gigabyte Z790 EAGLE AX",183.94,"LGA1700","ATX",192,4,"Gray / Black"
"117","Gigabyte B650E AORUS ELITE X AX ICE",249.99,"AM5","ATX",192,4,"Silver / White"
"118","Gigabyte B550M DS3H",89,"AM4","Micro ATX",128,4,"Black / Gold"
"119","Asus ROG STRIX B650E-E GAMING WIFI",331.14,"AM5","ATX",192,4,"Black"
"120","Gigabyte B760 GAMING X AX",169.99,"LGA1700","ATX",192,4,"Black / Gray"
"121","Gigabyte A520M K V2",78.04,"AM4","Micro ATX",64,2,"Brown / Black"
"122","Asus ROG STRIX B550-F GAMING",158.99,"AM4","ATX",128,4,"Black"
"123","ASRock B550 Phantom Gaming 4/ac",89.99,"AM4","ATX",128,4,"Silver / Black"
"124","MSI PRO B760M-A WIFI DDR4",149.99,"LGA1700","Micro ATX",128,4,"Black"
"125","Asus TUF GAMING B760M-PLUS WIFI II",194.99,"LGA1700","Micro ATX",192,4,"Black / Orange"
"126","NZXT N7 Z790",NA,"LGA1700","ATX",192,4,"White / Black"
"127","Gigabyte B760I AORUS PRO",199.99,"LGA1700","Mini ITX",96,2,"Silver / Black"
"128","ASRock B650M PG RIPTIDE WIFI",169.99,"AM5","Micro ATX",192,4,"Black"
"129","Asus TUF GAMING B650M-PLUS WIFI",189.99,"AM5","Micro ATX",192,4,"Black"
"130","Asus ROG STRIX X670E-F GAMING WIFI",349.99,"AM5","ATX",192,4,"Black / Silver"
"131","Asus ProArt Z790-CREATOR WIFI",439.99,"LGA1700","ATX",192,4,"Black / Copper"
"132","Asus PRIME B650-PLUS",164.99,"AM5","ATX",192,4,"Black / Silver"
"133","MSI A520M-A PRO",69.99,"AM4","Micro ATX",64,2,"Black"
"134","NZXT N7 Z790",296.99,"LGA1700","ATX",192,4,"Black"
"135","ASRock B550M-HDV",74.98,"AM4","Micro ATX",64,2,"Black"
"136","ASRock B550M PG RIPTIDE",102.98,"AM4","Micro ATX",128,4,""
"137","Asus ROG STRIX X670E-I GAMING WIFI",424.99,"AM5","Mini ITX",96,2,"Black / Silver"
"138","Asus ROG STRIX B760-A GAMING WIFI",209.99,"LGA1700","ATX",192,4,"Silver / Black"
"139","Gigabyte X670 GAMING X AX V2",209.99,"AM5","ATX",192,4,"Black / Gray"
"140","Gigabyte A520M DS3H V2",89.2,"AM4","Micro ATX",128,4,"Gray / Brown"
"141","Asus ROG STRIX Z790-H GAMING WIFI",249.99,"LGA1700","ATX",192,4,"Black"
"142","MSI Z790 GAMING PLUS WIFI",199.99,"LGA1700","ATX",192,4,"Black"
"143","ASRock Z690 Pro RS",119.99,"LGA1700","ATX",128,4,"Silver / Black"
"144","Asus ROG STRIX Z790-F GAMING WIFI II",409.99,"LGA1700","ATX",192,4,"Black"
