keyword,country
Intel Pentium Gold G5420 @ 3.80GHz,br
Intel Pentium Gold G5420T @ 3.20GHz,br
Intel Pentium Gold G5500 @ 3.80GHz,br
Intel Pentium Gold G5500T @ 3.20GHz,br
Intel Pentium Gold G5600 @ 3.90GHz,br
Intel Pentium Gold G5600F @ 3.90GHz,br
Intel Pentium Gold G5620 @ 4.00GHz,br
Intel Pentium Gold G6400 @ 4.00GHz,br
Intel Pentium Gold G6400T @ 3.40GHz,br
Intel Pentium Gold G6405 @ 4.10GHz,br
Intel Pentium Gold G6405T @ 3.50GHz,br
Intel Pentium Gold G6500 @ 4.10GHz,br
Intel Pentium Gold G6500T @ 3.50GHz,br
Intel Pentium Gold G6505 @ 4.20GHz,br
Intel Pentium Gold G6600 @ 4.20GHz,br
Intel Pentium Gold G6605 @ 4.30GHz,br
AMD Ryzen 9 5950X,br
Intel Core i5-12400F,br
GeForce RTX 5090,br
GeForce RTX 5080,br
GeForce RTX 5070,br
GeForce RTX 5060,br
GeForce RTX 5050,br
GeForce RTX 3050 6 GB,br
GeForce RTX 4080 SUPER,br
GeForce RTX 4070 Ti SUPER,br
GeForce RTX 4070 SUPER,br
GeForce RTX 4070,br
Radeon RX 7600 XT,br
GeForce RTX 4060 Ti,br
GeForce RTX 4060,br
Radeon RX 6550S,br
GeForce RTX 4090,br
Radeon RX 7900 GRE,br
Radeon RX 7800 XT,br
Arc A580,br
Radeon RX 7700 XT,br
Radeon RX 6750 GRE 12 GB,br
GeForce RTX 4070 Ti,br
GeForce RTX 4070,br
Radeon RX 6750 GRE 10 GB,br
Radeon RX 7700S,br
Radeon RX 7600S,br
Radeon RX 7600,br
Radeon RX 6600 LE,br
GeForce RTX 4060 Ti 8 GB,br
GeForce RTX 4060 Ti 16 GB,br
GeForce RTX 4060,br
Arc A380,br
Radeon RX 6500 XT,br
Radeon RX 6400,br
GeForce GTX 1630,br
Arc A350,br
Arc A310,br
Radeon RX 7900 XTX,br
GeForce RTX 4090,br
GeForce RTX 3090 Ti,br
GeForce RTX 3080 12 GB,br
Radeon RX 7900 XT,br
GeForce RTX 3080 Ti 20 GB,br
Radeon RX 6950 XT,br
GeForce RTX 4080,br
GeForce RTX 3070 Ti 8 GB,br
GeForce RTX 3060 Ti,br
Arc A770,br
Arc A750,br
Radeon RX 6750 XT,br
Radeon RX 6800S,br
Radeon RX 6700S,br
Radeon RX 6650 XT,br
Radeon RX 6600S,br
GeForce RTX 3060 8 GB,br
GeForce RTX 3050 8 GB,br
GeForce RTX 3050 4 GB,br
Placa Mãe AM5,br
Placa Mãe LGA1700,br
Placa Mãe AM4,br
Placa Mãe LGA1200,br
Placa Mãe LGA1151-2,br
Memória Ram 4GB ddr3,br
Memória Ram 6GB ddr3,br
Memória Ram 8GB ddr3,br
Memória Ram 12GB ddr3,br
Memória Ram 16GB ddr3,br
Memória Ram 24GB ddr3,br
Memória Ram 32GB ddr3,br
Memória Ram 48GB ddr3,br
Memória Ram 64GB ddr3,br
Memória Ram 96GB ddr3,br
Memória Ram 128GB ddr3,br
Memória Ram 192GB ddr3,br
Memória Ram 256GB ddr3,br
Memória Ram 4GB ddr4,br
Memória Ram 6GB ddr4,br
Memória Ram 8GB ddr4,br
Memória Ram 12GB ddr4,br
Memória Ram 16GB ddr4,br
Memória Ram 24GB ddr4,br
Memória Ram 32GB ddr4,br
Memória Ram 48GB ddr4,br
Memória Ram 64GB ddr4,br
Memória Ram 96GB ddr4,br
Memória Ram 128GB ddr4,br
Memória Ram 192GB ddr4,br
Memória Ram 256GB ddr4,br
Memória Ram 4GB ddr5,br
Memória Ram 6GB ddr5,br
Memória Ram 8GB ddr5,br
Memória Ram 12GB ddr5,br
Memória Ram 16GB ddr5,br
Memória Ram 24GB ddr5,br
Memória Ram 32GB ddr5,br
Memória Ram 48GB ddr5,br
Memória Ram 64GB ddr5,br
Memória Ram 96GB ddr5,br
Memória Ram 128GB ddr5,br
Memória Ram 192GB ddr5,br
Memória Ram 256GB ddr5,br
fonte 250W,br
fonte 300W,br
fonte 350W,br
fonte 400W,br
fonte 450W,br
fonte 500W,br
fonte 550W,br
fonte 600W,br
fonte 650W,br
fonte 700W,br
fonte 750W,br
fonte 800W,br
fonte 850W,br
fonte 900W,br
fonte 1000W,br
fonte 1050W,br
fonte 1200W,br
fonte 1300W,br
fonte 1350W,br
fonte 1500W,br
fonte 1600W,br
fonte 1700W,br
fonte 1800W,br
fonte 2000W,br
fonte 2200W,br
fonte 2400W,br
